name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Goias,2020-01-24,26.6,22.2,24.1,26.6,22.2,24.2,21.9,87.48,0,,0,,,,,23.4,313.3,1007.5,0,,,,0,,2020-01-24T06:05:57,2020-01-24T18:59:06,1,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-01-25,28.2,21.7,23.3,31.1,21.7,23.5,21.9,92.36,0,,0,,,,,11.9,229.3,1010.3,0,,,,0,,2020-01-25T06:06:31,2020-01-25T18:59:01,0,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-01-26,28.7,21.7,24.5,31.6,21.7,25,21.9,86.38,0,,0,,,,,8.6,230.6,1011,0,,,,0,,2020-01-26T06:07:04,2020-01-26T18:58:55,0.01,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-01-27,23.2,23.2,23.2,23.2,23.2,23.2,21.9,92.41,0,,0,,,,,2.9,33,1011.9,0,,,,0,,2020-01-27T06:07:36,2020-01-27T18:58:48,0.03,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-01-28,27.7,22.2,25.3,29.5,22.2,25.8,20.8,76.77,0,,0,,,,,14.4,201.4,1011.9,0,,,,0,,2020-01-28T06:08:08,2020-01-28T18:58:39,0.06,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-01-29,28.6,21.6,24.5,30.2,21.6,24.8,21.2,82.76,0,,0,,,,,7.2,167.1,1014.4,0,,,,0,,2020-01-29T06:08:40,2020-01-29T18:58:30,0.09,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-01-30,33.6,20.7,26.7,36.9,20.7,28.2,21.1,73.6,0,,0,,,,,9,182.9,1013.8,0,,,,0,,2020-01-30T06:09:11,2020-01-30T18:58:19,0.13,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-01-31,32.6,20.7,24.9,35.5,20.7,25.6,21.5,83.71,0,,0,,,,,8.6,129.8,1013.6,0,,,,0,,2020-01-31T06:09:42,2020-01-31T18:58:07,0.18,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-01,33.7,22.6,27.1,39.3,22.6,28.7,21.6,74.21,0,,0,,,,,9.4,161,1012,0,,,,0,,2020-02-01T06:10:12,2020-02-01T18:57:54,0.22,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-02,35,22.7,26.3,37.4,22.7,27.3,20.9,74.49,0,,0,,,,,8.6,145.9,1012.2,0,,,,0,,2020-02-02T06:10:42,2020-02-02T18:57:40,0.27,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-03,33.7,21.6,26.3,35.7,21.6,27.4,20.5,72.25,0,,0,,,,,10.8,139.1,1011.9,0,,,,0,,2020-02-03T06:11:11,2020-02-03T18:57:25,0.32,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-04,30.7,21.2,24.3,33,21.2,24.6,21,83.16,0,,0,,,,,13.3,140.2,1012.9,0,,,,0,,2020-02-04T06:11:40,2020-02-04T18:57:08,0.37,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-05,29.6,22.1,25.4,32.1,22.1,26.1,21,77.62,0,,0,,,,,11.2,191.1,1012.5,0,,,,0,,2020-02-05T06:12:08,2020-02-05T18:56:51,0.41,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-06,29.1,22.6,24.6,31.6,22.6,25.1,21.6,83.71,0,,0,,,,,9,184.6,1012.3,0,,,,0,,2020-02-06T06:12:35,2020-02-06T18:56:32,0.45,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-07,28.2,20.6,23.4,30.5,20.6,23.7,21,87.12,0,,0,,,,,15.1,87,1009.8,0,,,,0,,2020-02-07T06:13:02,2020-02-07T18:56:13,0.48,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-08,22.7,20.2,21.6,22.7,20.2,21.7,20.5,93.1,0,,0,,,,,16.2,84.4,1010.6,0,,,,0,,2020-02-08T06:13:29,2020-02-08T18:55:52,0.5,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-09,24.7,20.7,22.1,24.7,20.7,22.2,20.2,88.84,0,,0,,,,,14.4,80.2,1014.3,0,,,,0,,2020-02-09T06:13:55,2020-02-09T18:55:30,0.5,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-10,29.2,21.2,23.9,31,21.2,24.4,20.4,81.84,0,,0,,,,,14,193.3,1015.2,0,,,,0,,2020-02-10T06:14:20,2020-02-10T18:55:08,0.52,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-11,32.7,21.6,25.9,35.2,21.6,26.8,20.7,75.62,0,,0,,,,,7.6,157,1012.5,0,,,,0,,2020-02-11T06:14:45,2020-02-11T18:54:44,0.53,Clear,Clear conditions throughout the day.,clear-day,86712099999
